"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Mongolia","272","1","2014"
"Lao People's Democratic Republic (the)","207.87","2","2014"
"Mauritania","198.62","3","2014"
"Niger (the)","196.77","4","2014"
"Cambodia","196.37","5","2014"
"Tanzania, the United Republic of","192.36","6","2014"
"Angola","188.97","7","2014"
"Kuwait","183.72","8","2014"
"Uruguay","183.44","9","2014"
"Ethiopia","181.65","10","2014"
"Zambia","181.19","11","2014"
"Lithuania","180.05","12","2014"
"Paraguay","175.84","13","2014"
"Estonia","172.43","14","2014"
"Haiti","171.96","15","2014"
"Sierra Leone","171.74","16","2014"
"Ukraine","167.15","17","2014"
"Albania","166.66","18","2014"
"Cameroon","163.66","19","2014"
"Chad","163.03","20","2014"
"Benin","161.41","21","2014"
"Guatemala","159.12","22","2014"
"Suriname","159.12","23","2014"
"Malawi","157.18","24","2014"
"Dominican Republic (the)","156.78","25","2014"
"Rwanda","156.63","26","2014"
"Mali","156.18","27","2014"
"Uzbekistan","153.13","28","2014"
"Ghana","151.65","29","2014"
"Tajikistan","151.11","30","2014"
"Bolivia (Plurinational State of)","145.68","31","2014"
"Mozambique","145.16","32","2014"
"Burkina Faso","145.03","33","2014"
"India","144.36","34","2014"
"Grenada","144.13","35","2014"
"Peru","143.31","36","2014"
"Afghanistan","143.03","37","2014"
"Brazil","142.81","38","2014"
"Bangladesh","142.44","39","2014"
"Algeria","141.63","40","2014"
"Latvia","141.12","41","2014"
"Togo","140.99","42","2014"
"Kazakhstan","140.88","43","2014"
"Guinea-Bissau","140.21","44","2014"
"Bahamas (the)","140.12","45","2014"
"Nepal","139.59","46","2014"
"Indonesia","139.24","47","2014"
"Tonga","139","48","2014"
"Russian Federation (the)","137.4","49","2014"
"China","136.31","50","2014"
"Singapore","135.63","51","2014"
"Kenya","135.41","52","2014"
"Armenia","134.97","53","2014"
"Qatar","134.53","54","2014"
"Viet Nam","134.5","55","2014"
"Argentina","132.86","56","2014"
"Oman","130.97","57","2014"
"Costa Rica","129.94","58","2014"
"Canada","129.62","59","2014"
"Morocco","129.15","60","2014"
"Côte d'Ivoire","128.72","61","2014"
"Guinea","128.19","62","2014"
"World","128.11","","2014"
"Thailand","127.65","63","2014"
"Senegal","126.54","64","2014"
"Vanuatu","126.14","65","2014"
"Sao Tome and Principe","126.06","66","2014"
"Djibouti","125.71","67","2014"
"Bulgaria","125.14","68","2014"
"Jordan","124.81","69","2014"
"Gabon","124.48","70","2014"
"Nicaragua","123.87","71","2014"
"Honduras","123.81","72","2014"
"Congo (the)","123.43","73","2014"
"South Africa","123.42","74","2014"
"Mexico","123.32","75","2014"
"Myanmar","122.32","76","2014"
"Botswana","121.81","77","2014"
"Iraq","121.73","78","2014"
"Papua New Guinea","121.5","79","2014"
"Sri Lanka","121.01","80","2014"
"Guyana","120.93","81","2014"
"New Zealand","120.68","82","2014"
"Madagascar","120.32","83","2014"
"Poland","119.81","84","2014"
"Sweden","119.6","85","2014"
"Yemen","119.6","86","2014"
"Czechia","118.34","87","2014"
"Solomon Islands","117.85","88","2014"
"Nigeria","117.79","89","2014"
"Micronesia (Federated States of)","116.62","90","2014"
"Egypt","116.51","91","2014"
"Malaysia","116.29","92","2014"
"Pakistan","115.98","93","2014"
"Slovakia","115.73","94","2014"
"Saint Vincent and the Grenadines","115.57","95","2014"
"Marshall Islands (the)","115.23","96","2014"
"Namibia","115.21","97","2014"
"United States of America (the)","114.95","98","2014"
"Samoa","114.93","99","2014"
"Philippines (the)","114.73","100","2014"
"Equatorial Guinea","114.71","101","2014"
"Ecuador","114.4","102","2014"
"Belarus","114.06","103","2014"
"Nauru","113.54","104","2014"
"Libya","113.18","105","2014"
"Eswatini","112.95","106","2014"
"Moldova (the Republic of)","112.39","107","2014"
"United Kingdom","112.29","108","2014"
"Netherlands (the)","112.18","109","2014"
"Denmark","112.07","110","2014"
"Germany","111.9","111","2014"
"Timor-Leste","111.68","112","2014"
"Dominica","111.6","113","2014"
"Croatia","111.32","114","2014"
"Lesotho","111","115","2014"
"Antigua and Barbuda","110.82","116","2014"
"Colombia","110.34","117","2014"
"Iran (Islamic Republic of)","110.31","118","2014"
"Chile","110.31","119","2014"
"Tuvalu","110.01","120","2014"
"Turkey","109.65","121","2014"
"North Macedonia","109.62","122","2014"
"Congo (the Democratic Republic of the)","109.45","123","2014"
"Azerbaijan","109.32","124","2014"
"Australia","109.06","125","2014"
"Central African Republic (the)","108.5","126","2014"
"Cabo Verde","108.39","127","2014"
"Switzerland","107.87","128","2014"
"Liechtenstein","106.81","129","2014"
"Venezuela (Bolivarian Republic of)","106.35","130","2014"
"Burundi","106.21","131","2014"
"El Salvador","106.1","132","2014"
"Romania","105.73","133","2014"
"Belgium","105.59","134","2014"
"Malta","105.31","135","2014"
"Comoros (the)","104.98","136","2014"
"Portugal","104.56","137","2014"
"Bahrain","104.28","138","2014"
"Tunisia","104.17","139","2014"
"Finland","103.98","140","2014"
"France","103.54","141","2014"
"Israel","103.51","142","2014"
"Kyrgyzstan","103.43","143","2014"
"Liberia","103.14","144","2014"
"Jamaica","102.87","145","2014"
"Hungary","102.43","146","2014"
"Serbia","101.95","147","2014"
"Spain","101.85","148","2014"
"Korea (the Democratic People's Republic of)","101.82","149","2014"
"Ireland","101.17","150","2014"
"Belize","101.06","151","2014"
"Zimbabwe","101.01","152","2014"
"Austria","100.07","153","2014"
"Bhutan","99.01","154","2014"
"Somalia","98.06","155","2014"
"Brunei Darussalam","97.93","156","2014"
"Norway","97.59","157","2014"
"Lebanon","97.32","158","2014"
"Korea (the Republic of)","96.46","159","2014"
"Seychelles","95.18","160","2014"
"Japan","92.43","161","2014"
"Panama","92.21","162","2014"
"Slovenia","89.82","163","2014"
"Luxembourg","89.7","164","2014"
"Iceland","88.98","165","2014"
"Cuba","87.81","166","2014"
"Palestine, State of","87.2","167","2014"
"Greece","87.15","168","2014"
"Uganda","86.2","169","2014"
"Italy","85.14","170","2014"
"Mauritius","84.73","171","2014"
"Bosnia and Herzegovina","83.04","172","2014"
"Georgia","80.78","173","2014"
"Gambia (the)","80.17","174","2014"
"Fiji","78.85","175","2014"
"Turkmenistan","77.26","176","2014"
"Eritrea","75.67","177","2014"
"Saudi Arabia","64.48","178","2014"
"Cyprus","64.04","179","2014"
"Maldives","61.15","180","2014"
"Trinidad and Tobago","60.64","181","2014"
"Barbados","59.03","182","2014"
"Syrian Arab Republic (the)","54.82","183","2014"
"Kiribati","54.34","184","2014"
"United Arab Emirates (the)","54.27","185","2014"
"Saint Lucia","50.18","186","2014"
"Montenegro","44.29","187","2014"
"Saint Kitts and Nevis","30.35","188","2014"
"San Marino","null","189","2014"
"Holy See (the)","null","190","2014"
"Andorra","null","191","2014"
"Monaco","null","192","2014"
"Taiwan","null","193","2014"
"Sudan (the)","null","194","2014"
"South Sudan","null","195","2014"
"Bonaire","null","196","2014"
"Curaçao","null","197","2014"
"Sint Maarten (Dutch part)","null","198","2014"
"Palau","null","199","2014"
"Faroe Islands","null","200","2014"
"United States Minor Outlying Islands","null","201","2014"
"Serranilla Bank","null","202","2014"
"Scarborough Reef","null","203","2014"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2014"
"Spratly Islands","null","205","2014"
"American Samoa","null","206","2014"
"Greenland","null","207","2014"
"Guam","null","208","2014"
"Northern Mariana Islands","null","209","2014"
"Puerto Rico","null","210","2014"
"United States Virgin Islands","null","211","2014"
"Somaliland","null","212","2014"
"Northern Cyprus","null","213","2014"
"Cyprus No Mans Area","null","214","2014"
"Western Sahara","null","215","2014"
"Siachen Glacier","null","216","2014"
"Kosovo","null","217","2014"